1	combining [affricates backvow centralvow clicks fricatives frontvow glides laterals modcon modvow nasals stops vibrants]
557	t̪	57	47	51
558	ʄ	18	133	134
559	k^	2	4399	4402
560	ᵈt̪ˣ	1	37	
561	tʰ	341	0	1
562	dˀ	5	1501	1502
563	ɟ̤	3	1657	1708
564	ᶢkʰ	2	4	37
565	pː	1	4704	
566	dʲ	8	16	17
567	ɡ^	2	4365	4400
568	ɡb	168	51	78
569	pʱ	1	5	
570	ɡd	1	1413	
571	tˣˀ	2	4	5
572	kp	176	51	82
573	ⁿd	179	0	557
574	kt	1	1413	
575	ⁿḍ	7	1664	1665
576	ɗ̤	1	3001	
577	ᴺG	2	3222	3807
578	ḍˀ	1	1497	
579	qʰ	30	37	40
580	d̤̣	36	1657	1658
581	d̪	40	47	51
582	ɡːʷ	1	1331	
583	bˀ	2	1502	4883
584	ʔʷ	3	1605	1998
585	tː	3	59	68
586	qˀʷ	41	1605	1609
587	ⁿtʰ	1	0	
588	ⁿt	3	1060	4953
589	pʰ	301	0	1
590	ᵑɡ	167	0	16
591	dˣ	1	28	
592	ⁿdʲ	3	23	5008
593	t̯	58	4363	4385
594	ɓ	140	47	53
595	d̰	1	5666	
596	ˀb	46	210	325
597	ɓ̤	1	3001	
598	ɟ	225	16	17
599	ˀd	23	325	326
600	kˀ	241	0	1
601	cˣ	7	16	17
602	ɡʷ	67	0	104
603	pˀkˣˀ	1	37	
604	bʷ	8	1189	1208
605	ˀk	1	3690	
606	qᶛ	1	1575	
607	ʰd	1	4955	
608	ɗ̣	20	99	1274
609	qʰʷ	3	4724	4725
610	ͫb	176	0	440
611	ᵑͫɡb	6	180	440
612	ˀp	1	3690	
613	ᵇpʰ	1	4	
614	ʰk	3	4692	4693
615	t̪ᵚ	1	3428	
616	ˀt	2	3690	4794
617	tʲ	9	1921	1926
618	cˀ	14	16	17
619	tˀ	242	2	16
620	ṭ	231	63	109
621	ᵑkʷ	1	4995	
622	ʰp	3	4692	4693
623	d̤	53	476	1651
624	ḍ̰	1	5666	
625	ʰt	3	4692	4693
626	ͫp	2	1060	4957
627	ͫbʷ	1	3306	
628	ˀɟ	3	2446	2479
629	b̰	1	5666	
630	d̯	27	4365	4371
631	ɠ	14	1128	1245
632	kʰ	330	0	1
633	b	1445	0	1
634	c	329	16	17
635	d	1408	0	1
636	kʰʷ	18	0	1998
637	ⁿ̃ɟ	21	769	1128
638	ʔʰ	1	2097	
639	ˀd̪	2	1293	2538
640	k	2176	0	1
641	tp	1	4331	
642	ɠ̤	1	1689	
643	tˣ	13	4	5
644	b̤	51	476	1651
645	ḍ	170	63	90
646	pʷ	5	234	3483
647	kː	2	1330	4704
648	ṭˀ	14	1513	4820
649	p	1977	0	1
650	q	262	16	17
651	ᵑk	5	1060	1542
652	G	30	37	40
653	t	2179	0	1
654	ɡ	1316	0	1
655	ɡbʷ	2	329	803
656	kpʷ	2	329	803
657	ͫpʰ	3	0	1542
658	Gʷ	5	4639	4641
659	pˀ	166	2	1129
660	ᵈtʰ	2	4	37
661	bd	2	1394	1413
662	ɡˀ	1	1537	
663	ɓʷ	2	476	3557
664	ᵑkʰ	1	0	
665	ḍː	1	1809	
666	ṭʰ	77	1639	1657
667	d̪̤	1	2953	
668	ʔ˜	1	1893	
669	ɡʲ	3	1426	5048
670	t̯ʰ	1	4486	
671	t̪ˀ	2	4732	4866
672	kʲ	15	16	17
673	cː	2	59	68
674	t̪ʰ	3	1154	2538
675	bᵚ	1	3428	
676	tʱ	1	5	
677	cʰ	37	16	17
678	ʔʲ	1	112	
679	ⁿd̪	1	1129	
680	ᵑɡʷ	7	1386	1388
681	ɡ̤ʷ	1	1651	
682	qˀ	113	37	40
683	ɡː	1	1330	
684	kˣˀ	2	4	37
685	ˀɗ̣	1	1294	
686	ˀt̪ʰ	2	2351	2357
687	t̪ʷ	1	1618	
688	kᵚ	1	3428	
689	ɗ	109	47	53
690	kˀʲ	1	1426	
691	ɡ̰	1	5666	
692	kˀʷ	64	0	1426
693	pt	2	1394	1413
694	qʷ	53	1330	1517
695	bɗ	1	1394	
696	ⁿ̯d̯	1	4481	
697	ⁿɾ	1	3561	
698	ř	3	1878	1882
699	ṛ	65	5	1167
700	ɾ̌	1	5521	
701	v̊	14	277	296
702	rˀ	1	2998	
703	B	6	730	1301
704	ɾ̣	77	2	3
705	r	1183	1	4
706	ɾ˜	3	366	3694
707	ɹ	29	40	932
708	ɹ̥	2	1732	3580
709	ɹ́	1	1673	
710	r̤	7	1687	1699
711	ˀr	9	1283	1578
712	ɾ	477	12	70
713	rᵚ	2	1775	3428
714	P	2	1301	1303
715	ɾ̤	2	1711	1714
716	R	2	1819	3152
717	ʁ	12	1558	1817
718	ṛʷ	1	5044	
719	ɹ̣	106	211	391
720	bɹ	1	4770	
721	ɹ̣̥	1	456	
722	r̪	3	1937	2029
723	r̥	29	453	458
724	rʲ	4	1871	1884
725	rᶻ̌	3	5051	5567
726	ɾ̥	7	461	1838
727	ṛ̥	2	2129	2351
728	ɾ̣̤	6	1699	1700
729	ˀɾ	4	1534	4757
